City,State,County,Region,Division,Latitude,Longitude,Population,Asian,White,Black,Indian,Hispanic,Hawaiian,Other,Females,Males,Median_age,Median_female_age,Median_male_age,Households,Persons_per_household,Household_income
Adak,Alaska,Aleutians West,West,Pacific,51.854871,-177.088812,326,178,90,13,46,29,10,28,127,199,45.5,40.7,48.5,44,2.48,52727.0
Akiachak,Alaska,Bethel,West,Pacific,60.878536,-161.425504,627,1,26,4,603,1,0,0,323,304,24.6,22.2,26.6,150,4.18,35833.0
Akiak,Alaska,Bethel,West,Pacific,60.91462,-161.294456,346,1,23,1,328,1,0,0,177,169,25.8,26.5,25.4,90,3.84,26250.0
Akutan,Alaska,Aleutians East,West,Pacific,54.16727,-165.747981,1027,462,273,186,76,214,17,63,237,790,44.1,46.3,43.6,40,2.25,33750.0
Alakanuk,Alaska,Wade Hampton,West,Pacific,62.723427,-163.8538,677,3,28,3,660,0,0,0,334,343,21.1,21.0,21.1,160,4.23,26346.0
Aleknagik,Alaska,Dillingham,West,Pacific,59.344639,-158.774876,221,4,54,0,187,0,2,0,92,129,29.7,30.0,29.5,72,3.07,22750.0
Allakaket,Alaska,Yukon Koyukuk,West,Pacific,66.534416,-152.720306,208,0,7,0,206,0,0,0,90,118,27.4,27.4,27.3,74,2.81,20417.0
Ambler,Alaska,Northwest Arctic,West,Pacific,67.6806,-156.875819,259,0,34,6,229,0,1,0,127,132,28.8,28.2,31.0,76,3.41,43500.0
Anaktuvuk Pass,Alaska,North Slope,West,Pacific,68.136652,-151.696756,324,1,45,7,298,7,2,0,144,180,27.0,27.6,26.3,99,3.27,52500.0
Anchor Point,Alaska,Kenai Peninsula,West,Pacific,59.81156,-151.640287,432,36,2373,8,178,58,5,21,1185,1325,46.0,44.5,47.1,1069,2.35,40040.0
Anchorage,Alaska,Anchorage,West,Pacific,61.207482,-149.74147,234188,28026,168676,19600,33067,18530,7676,8082,119307,122730,20.18,20.23,19.38,90801,1.34,23396.64
Anderson,Alaska,Denali,West,Pacific,64.2816,-149.131769,226,1,213,2,18,9,1,5,100,126,43.8,41.0,45.0,91,2.48,56667.0
Angoon,Alaska,Hoonah Angoon,West,Pacific,57.712628,-133.669726,479,16,100,14,412,36,0,3,203,276,39.3,32.9,43.8,174,2.75,29861.0
Aniak,Alaska,Bethel,West,Pacific,61.476572,-156.713567,726,2,178,6,601,9,1,1,349,377,29.3,27.5,30.6,245,2.96,35167.0
Anvik,Alaska,Yukon Koyukuk,West,Pacific,63.30264,-159.868254,85,0,6,0,82,0,0,0,39,46,29.8,29.5,31.3,33,2.58,21250.0
Arctic Village,Alaska,Yukon Koyukuk,West,Pacific,68.151868,-145.485017,152,0,17,0,145,0,0,0,66,86,29.0,29.0,29.0,65,2.34,20250.0
Atka,Alaska,Aleutians West,West,Pacific,52.210572,-173.820056,61,0,3,0,58,0,0,0,25,36,35.5,30.5,39.0,24,2.54,30938.0
Atqasuk,Alaska,North Slope,West,Pacific,70.489114,-157.39876,237,0,18,0,221,0,0,0,98,139,25.1,27.5,21.9,68,3.49,66607.0
Barrow,Alaska,North Slope,West,Pacific,70.29235,-156.597982,4213,459,983,83,2889,131,144,48,2048,2165,28.0,27.4,28.7,1280,3.26,67097.0
Beaver,Alaska,Yukon Koyukuk,West,Pacific,66.387197,-147.32548,84,1,1,0,83,4,0,0,41,43,32.0,26.5,43.5,36,2.33,28750.0
Bethel,Alaska,Bethel,West,Pacific,60.912509,-161.9762,7632,227,1847,114,5838,145,45,49,3660,3972,27.8,27.3,28.3,2232,3.27,51536.0
Bettles Field,Alaska,Yukon Koyukuk,West,Pacific,67.277654,-150.945403,30,0,21,1,10,0,0,0,12,18,54.5,55.5,52.0,24,1.25,52917.0
Big Lake,Alaska,Matanuska Susitna,West,Pacific,61.464922,-150.097668,3703,52,3365,21,420,113,26,48,1746,1957,41.5,40.5,42.5,1501,2.47,40944.0
Brevig Mission,Alaska,Nome,West,Pacific,65.441346,-166.939622,388,0,28,2,366,2,1,2,187,201,20.8,22.1,19.8,93,4.17,21875.0
Buckland,Alaska,Northwest Arctic,West,Pacific,65.874808,-160.50992,416,0,19,0,405,0,0,0,183,233,19.9,19.3,20.5,98,4.24,38333.0
Cantwell,Alaska,Denali,West,Pacific,63.336685,-148.086366,231,2,190,1,45,3,0,4,94,137,42.7,42.0,43.3,110,2.1,46500.0
Central,Alaska,Yukon Koyukuk,West,Pacific,65.232699,-144.425723,144,0,105,0,40,2,0,2,65,79,50.6,48.1,53.3,81,1.78,36875.0
Chalkyitsik,Alaska,Yukon Koyukuk,West,Pacific,66.641779,-143.750702,69,0,10,0,59,0,0,0,34,35,27.5,25.0,28.5,24,2.88,16250.0
Chefornak,Alaska,Bethel,West,Pacific,60.159414,-164.068411,418,0,16,2,403,0,0,0,208,210,23.6,22.8,26.4,92,4.54,35556.0
Chevak,Alaska,Wade Hampton,West,Pacific,61.472368,-164.837465,938,3,37,10,912,1,0,1,430,508,21.2,19.7,22.4,209,4.49,27188.0
Chicken,Alaska,Southeast Fairbanks,West,Pacific,63.864317,-141.936968,10,0,10,0,0,1,0,0,3,7,58.3,48.5,58.8,8,1.25,18125.0
Chignik,Alaska,Lake And Peninsula,West,Pacific,56.304672,-158.401254,91,4,34,0,56,1,0,1,40,51,45.3,44.0,46.5,41,2.22,34250.0
Chignik Lagoon,Alaska,Lake And Peninsula,West,Pacific,56.30741,-158.49604,78,1,23,1,58,3,1,3,38,40,36.0,33.0,41.3,29,2.69,92297.0
Chignik Lake,Alaska,Lake And Peninsula,West,Pacific,56.239163,-158.74329,73,0,4,0,70,0,1,0,32,41,32.5,40.5,28.5,27,2.7,41458.0
Chitina,Alaska,Valdez Cordova,West,Pacific,61.505789,-143.890392,192,1,166,0,53,3,0,0,89,103,34.5,29.5,43.5,89,2.16,25500.0
Chugiak,Alaska,Anchorage,West,Pacific,61.423518,-149.329945,4427,249,8392,137,922,342,29,95,4474,4737,39.3,38.9,39.7,3293,2.75,74471.0
Circle,Alaska,Yukon Koyukuk,West,Pacific,65.627924,-143.449118,104,0,16,4,90,2,0,0,54,50,31.7,25.0,35.5,40,2.6,11667.0
Clam Gulch,Alaska,Kenai Peninsula,West,Pacific,60.210537,-151.409868,42,4,262,0,32,1,7,1,130,149,49.8,45.8,51.3,131,2.13,37750.0
Clarks Point,Alaska,Dillingham,West,Pacific,58.832661,-157.861912,64,0,7,0,57,0,0,0,32,32,40.0,28.0,47.0,25,2.56,28125.0
Clear,Alaska,Denali,West,Pacific,64.749761,-148.928394,24,1,21,2,0,0,0,0,3,21,48.0,40.5,48.5,0,0.0,56250.0
Coffman Cove,Alaska,Prince Of Wales Hyder,West,Pacific,55.963322,-132.814536,231,0,224,0,10,2,0,0,89,142,50.0,50.5,48.5,115,2.01,41875.0
Cold Bay,Alaska,Aleutians East,West,Pacific,55.849607,-161.11259,160,3,102,3,60,6,0,3,67,93,42.7,44.8,41.5,68,2.34,53125.0
Cooper Landing,Alaska,Kenai Peninsula,West,Pacific,60.449316,-150.036542,7,5,288,0,9,0,1,0,139,157,55.0,55.8,54.6,163,1.82,34844.0
Copper Center,Alaska,Valdez Cordova,West,Pacific,61.798703,-143.851898,561,12,866,6,286,33,3,12,522,593,43.4,40.8,44.9,465,2.4,35179.0
Cordova,Alaska,Valdez Cordova,West,Pacific,60.491937,-143.810382,2348,275,1829,23,398,96,5,38,1094,1254,42.1,42.2,42.1,969,2.4,49844.0
Craig,Alaska,Prince Of Wales Hyder,West,Pacific,55.451702,-132.992635,1920,53,1591,16,479,51,14,9,856,1064,39.1,37.8,40.4,770,2.48,47107.0
Crooked Creek,Alaska,Bethel,West,Pacific,61.796974,-157.956801,105,1,16,0,97,0,0,0,47,58,28.5,28.5,29.5,38,2.76,17500.0
Deering,Alaska,Northwest Arctic,West,Pacific,66.015195,-163.100623,122,4,11,1,111,0,0,0,55,67,30.0,28.5,31.8,44,2.77,33333.0
Delta Junction,Alaska,Southeast Fairbanks,West,Pacific,63.780185,-145.36958,782,98,4605,97,286,195,27,88,2173,2838,35.6,33.8,36.9,1737,2.67,43445.0
Denali National Park,Alaska,Denali,West,Pacific,63.580221,-150.748066,217,2,210,2,3,6,0,6,100,117,43.6,38.6,48.5,124,1.75,53125.0
Dillingham,Alaska,Dillingham,West,Pacific,59.212234,-159.722152,2603,83,969,18,1787,76,18,18,1260,1343,32.0,32.1,31.8,933,2.73,50938.0
Douglas,Alaska,Juneau,West,Pacific,58.273787,-134.401283,1427,103,1678,30,434,112,20,39,1060,1051,36.3,37.2,34.9,958,2.2,51618.0
Dutch Harbor,Alaska,Aleutians West,West,Pacific,53.547528,-166.967179,152,88,51,6,7,7,4,7,62,90,37.0,30.3,39.3,82,1.85,66875.0
Eagle,Alaska,Southeast Fairbanks,West,Pacific,64.452624,-141.224684,187,1,148,1,40,0,0,0,85,102,49.7,46.3,50.4,86,2.17,31500.0
Eagle River,Alaska,Anchorage,West,Pacific,61.235338,-149.320634,24330,1126,23047,878,1736,1426,163,391,12876,12895,34.0,34.6,33.4,8844,2.86,72766.0
Eek,Alaska,Bethel,West,Pacific,59.761734,-161.904122,296,0,7,0,289,3,0,0,139,157,27.5,24.5,30.5,91,3.25,17500.0
Egegik,Alaska,Lake And Peninsula,West,Pacific,58.082788,-156.443555,109,0,60,0,51,2,5,1,30,79,47.3,44.5,47.8,29,2.48,45500.0
Eielson Afb,Alaska,Fairbanks North Star,West,Pacific,64.70238,-146.667136,2860,142,2265,275,54,210,30,57,1159,1488,21.6,22.1,21.4,639,3.48,35938.0
Ekwok,Alaska,Dillingham,West,Pacific,59.528899,-157.653496,115,0,11,0,109,3,0,0,54,61,27.3,28.5,25.5,37,3.11,16250.0
Elfin Cove,Alaska,Hoonah Angoon,West,Pacific,58.125642,-135.963104,120,2,106,1,20,5,0,2,56,64,46.0,37.5,49.5,50,2.4,32031.0
Elim,Alaska,Nome,West,Pacific,64.687022,-162.091514,330,1,33,0,305,1,0,0,148,182,23.8,23.7,24.0,89,3.71,40179.0
Emmonak,Alaska,Wade Hampton,West,Pacific,62.697866,-163.46605,762,2,26,0,737,1,0,0,333,429,24.4,25.6,23.5,185,4.12,32917.0
Fairbanks,Alaska,Fairbanks North Star,West,Pacific,64.925708,-148.155282,47384,2878,52477,3553,8477,3246,447,1186,30636,33363,21.56,20.05,21.76,25725,1.249,18280.7
False Pass,Alaska,Aleutians East,West,Pacific,54.711928,-163.743349,35,1,7,0,27,0,0,0,16,19,32.8,33.5,32.5,15,2.33,49375.0
Fort Wainwright,Alaska,Fairbanks North Star,West,Pacific,64.832026,-147.627188,6343,320,5224,1198,243,1105,197,446,2869,4196,22.4,21.6,22.6,1474,3.74,34435.0
Fort Yukon,Alaska,Yukon Koyukuk,West,Pacific,66.442517,-145.755329,585,1,55,6,531,2,3,1,259,326,33.8,34.4,33.3,247,2.36,28750.0
Gakona,Alaska,Valdez Cordova,West,Pacific,62.417714,-143.413904,365,5,396,1,220,7,0,0,280,325,46.4,43.8,48.8,260,2.33,26111.0
Galena,Alaska,Yukon Koyukuk,West,Pacific,65.982716,-154.400274,470,7,164,3,324,11,0,1,229,241,36.8,37.5,36.3,190,2.47,61125.0
Gambell,Alaska,Nome,West,Pacific,63.751381,-171.694185,681,1,29,0,654,3,0,0,323,358,24.4,22.1,27.5,164,4.15,31458.0
Girdwood,Alaska,Anchorage,West,Pacific,60.973065,-149.11936,2250,87,2112,14,77,88,7,22,1010,1240,36.0,35.5,36.3,1044,2.15,60688.0
Glennallen,Alaska,Valdez Cordova,West,Pacific,62.045455,-145.040551,384,9,817,9,223,14,12,8,467,513,41.6,39.5,43.8,420,2.29,41211.0
Goodnews Bay,Alaska,Bethel,West,Pacific,58.947547,-161.710552,243,0,12,1,232,1,0,0,108,135,26.8,26.3,27.2,76,3.2,16250.0
Grayling,Alaska,Yukon Koyukuk,West,Pacific,64.072829,-159.694194,194,1,25,0,181,0,0,0,95,99,23.4,21.8,24.2,55,3.53,21875.0
Gustavus,Alaska,Hoonah Angoon,West,Pacific,58.836726,-136.968144,442,8,422,1,30,7,1,1,218,224,49.1,46.2,50.7,212,2.08,34766.0
Haines,Alaska,Haines,West,Pacific,58.971507,-135.40915,396,44,2245,18,437,49,4,26,1277,1325,46.9,46.5,47.2,1189,2.19,40321.0
Healy,Alaska,Denali,West,Pacific,64.002817,-148.631418,126,37,1024,4,48,20,0,6,498,571,40.2,37.4,43.3,452,2.34,60694.0
Holy Cross,Alaska,Yukon Koyukuk,West,Pacific,62.261964,-160.383132,178,0,15,0,170,0,0,0,86,92,31.0,26.7,35.0,64,2.78,21875.0
Homer,Alaska,Kenai Peninsula,West,Pacific,59.571809,-151.185592,4637,171,8991,83,984,195,22,71,4847,4993,41.7,41.9,41.4,4167,2.34,44244.0
Hoonah,Alaska,Hoonah Angoon,West,Pacific,58.031175,-135.740702,777,10,350,13,514,24,2,1,362,415,44.4,43.5,45.3,313,2.48,43056.0
Hooper Bay,Alaska,Wade Hampton,West,Pacific,61.501903,-165.44894,1093,2,53,3,1070,0,1,1,530,563,22.1,21.8,22.4,256,4.27,26667.0
Hope,Alaska,Kenai Peninsula,West,Pacific,60.885768,-149.459365,21,8,200,0,14,6,2,0,98,113,53.9,51.5,55.2,108,1.95,22841.0
Houston,Alaska,Matanuska Susitna,West,Pacific,61.659783,-149.807672,1512,17,1376,22,200,54,4,27,709,803,35.6,35.5,35.7,583,2.58,37708.0
Hughes,Alaska,Yukon Koyukuk,West,Pacific,65.96155,-153.955466,78,0,1,2,75,0,0,0,39,39,34.0,35.5,32.8,32,2.44,24375.0
Huslia,Alaska,Yukon Koyukuk,West,Pacific,65.695383,-156.324495,277,1,21,0,258,0,0,0,140,137,26.3,26.0,26.5,92,3.01,27000.0
Hydaburg,Alaska,Prince Of Wales Hyder,West,Pacific,55.09599,-132.618224,384,2,80,9,324,12,1,7,165,219,32.3,31.9,32.8,129,2.98,31625.0
Hyder,Alaska,Prince Of Wales Hyder,West,Pacific,55.582801,-131.119272,87,0,82,0,5,2,2,3,36,51,54.8,56.0,54.2,48,1.81,11719.0
Iliamna,Alaska,Lake And Peninsula,West,Pacific,59.67983,-155.557717,469,8,109,6,399,12,0,1,246,223,26.3,24.0,29.2,141,3.33,34250.0
Indian,Alaska,Anchorage,West,Pacific,61.000835,-149.536529,235,3,301,0,16,4,1,3,136,184,48.0,48.0,48.0,156,2.05,48906.0
Jber,Alaska,Anchorage,West,Pacific,61.275689,-149.787651,11311,593,11338,1899,384,1723,181,527,5994,7929,21.9,21.7,21.85,3200,3.54,38442.5
Juneau,Alaska,Juneau,West,Pacific,58.380109,-134.177531,24552,2747,22656,563,5571,1476,396,470,14265,14899,6.38,6.42,6.33,11229,0.42,13241.17
Kake,Alaska,Petersburg,West,Pacific,56.967612,-133.936153,561,22,149,3,453,10,2,8,257,304,41.8,42.9,40.6,214,2.62,39643.0
Kaktovik,Alaska,North Slope,West,Pacific,70.120461,-143.677878,239,0,27,0,215,0,0,0,114,125,30.5,30.0,32.3,72,3.29,55625.0
Kalskag,Alaska,Bethel,West,Pacific,61.614712,-160.177953,216,0,37,4,199,0,0,2,103,113,24.0,23.7,25.2,61,3.54,28333.0
Kaltag,Alaska,Yukon Koyukuk,West,Pacific,64.338994,-158.712205,190,0,16,0,179,0,0,0,74,116,31.5,34.5,31.0,70,2.71,29167.0
Kasigluk,Alaska,Bethel,West,Pacific,60.887358,-162.530154,569,0,29,1,550,1,0,0,267,302,21.8,23.6,20.8,113,5.04,31500.0
Kasilof,Alaska,Kenai Peninsula,West,Pacific,60.353592,-151.277367,181,22,2031,12,180,55,8,23,997,1170,46.7,46.4,47.0,956,2.27,39261.0
Kenai,Alaska,Kenai Peninsula,West,Pacific,60.756211,-150.520266,9845,352,13270,155,2154,549,122,156,7246,7876,37.0,37.4,36.7,5697,2.56,47421.0
Ketchikan,Alaska,Ketchikan Gateway,West,Pacific,55.583689,-131.393027,10313,1183,10352,181,2903,538,72,151,6566,6942,19.25,19.4,19.1,5304,1.245,44635.5
Kiana,Alaska,Northwest Arctic,West,Pacific,67.563649,-160.305093,363,0,34,1,338,1,0,0,169,194,26.9,26.5,27.7,102,3.56,39688.0
King Cove,Alaska,Aleutians East,West,Pacific,55.38226,-161.945536,938,354,188,17,384,105,2,43,361,577,41.2,40.6,41.3,181,2.76,45893.0
King Salmon,Alaska,Bristol Bay,West,Pacific,58.746236,-156.549078,434,9,298,3,170,16,1,3,192,242,38.4,36.7,39.2,179,2.34,54375.0
Kipnuk,Alaska,Bethel,West,Pacific,59.933784,-164.070364,639,0,15,0,626,0,0,0,306,333,21.9,20.6,23.1,153,4.18,34375.0
Kivalina,Alaska,Northwest Arctic,West,Pacific,67.641648,-163.716673,374,0,9,5,366,0,0,0,196,178,21.3,22.3,20.8,85,4.4,30833.0
Klawock,Alaska,Prince Of Wales Hyder,West,Pacific,55.549794,-132.96755,819,35,415,5,450,21,7,8,391,428,42.0,40.9,43.4,324,2.53,36328.0
Kobuk,Alaska,Northwest Arctic,West,Pacific,67.058942,-155.96794,151,1,14,0,136,4,0,1,75,76,20.6,20.4,21.5,36,4.19,30750.0
Kodiak,Alaska,Kodiak Island,West,Pacific,57.687364,-153.378962,8654,2918,8267,177,1961,987,168,510,6078,6821,10.73,10.87,10.57,4368,0.96,31225.0
Kotlik,Alaska,Wade Hampton,West,Pacific,62.956805,-163.90414,577,2,13,1,563,1,0,1,270,307,21.7,21.3,21.9,128,4.51,37750.0
Kotzebue,Alaska,Northwest Arctic,West,Pacific,66.73784,-161.77906,3553,69,891,49,2777,51,20,19,1616,1937,29.5,27.2,31.3,960,3.3,57163.0
Koyuk,Alaska,Nome,West,Pacific,65.017771,-161.035312,332,7,30,0,319,0,0,0,149,183,21.4,22.1,21.1,89,3.73,30417.0
Koyukuk,Alaska,Yukon Koyukuk,West,Pacific,64.893256,-157.68507,96,0,1,2,95,0,0,0,47,49,31.5,28.5,35.5,42,2.29,19375.0
Kwethluk,Alaska,Bethel,West,Pacific,60.77896,-161.396394,723,6,28,0,705,0,8,4,346,377,23.5,23.5,23.5,173,4.18,25417.0
Kwigillingok,Alaska,Bethel,West,Pacific,59.893258,-163.00375,321,1,15,0,310,0,0,0,152,169,26.9,27.0,26.8,82,3.89,36250.0
Lake Minchumina,Alaska,Yukon Koyukuk,West,Pacific,63.811917,-152.373516,17,0,12,0,8,0,0,0,9,8,56.5,56.5,55.5,8,2.13,36250.0
Larsen Bay,Alaska,Kodiak Island,West,Pacific,57.487226,-153.993635,90,0,28,0,66,0,0,0,40,50,45.0,46.0,44.5,36,2.5,40833.0
Levelock,Alaska,Lake And Peninsula,West,Pacific,59.281548,-155.320888,72,0,14,0,63,0,0,0,33,39,35.5,34.5,37.3,29,2.48,18750.0
Lower Kalskag,Alaska,Bethel,West,Pacific,61.428069,-160.56124,282,3,16,2,274,0,0,1,145,137,25.8,25.8,25.8,75,3.76,25625.0
Manley Hot Springs,Alaska,Yukon Koyukuk,West,Pacific,65.160932,-150.987476,119,0,99,0,35,6,0,0,53,66,52.3,53.5,51.0,58,2.05,27750.0
Manokotak,Alaska,Dillingham,West,Pacific,58.883272,-158.932643,443,0,19,0,425,1,0,1,212,231,26.5,25.0,27.5,122,3.63,26875.0
Marshall,Alaska,Wade Hampton,West,Pacific,61.744488,-161.882386,417,2,19,0,405,1,1,0,198,219,21.3,21.6,20.9,101,4.13,32917.0
Mc Grath,Alaska,Yukon Koyukuk,West,Pacific,63.200505,-154.890084,406,7,259,2,218,12,3,2,191,215,39.0,35.6,41.5,172,2.35,43056.0
Mekoryuk,Alaska,Bethel,West,Pacific,60.088095,-166.481491,191,0,13,0,185,0,0,0,83,108,40.5,29.5,45.0,70,2.73,30833.0
Metlakatla,Alaska,Prince Of Wales Hyder,West,Pacific,55.145032,-131.543885,1460,9,221,14,1294,26,16,3,699,761,35.0,33.4,36.0,509,2.87,43516.0
Meyers Chuck,Alaska,Ketchikan Gateway,West,Pacific,55.723233,-132.229524,31,0,30,2,1,0,0,0,14,17,58.8,57.0,58.8,16,1.94,63750.0
Minto,Alaska,Yukon Koyukuk,West,Pacific,65.029085,-149.671599,210,0,19,0,200,1,0,1,92,118,29.6,28.0,30.0,65,3.23,21250.0
Moose Pass,Alaska,Kenai Peninsula,West,Pacific,60.618219,-149.279283,13,1,219,3,7,5,2,0,107,121,41.0,37.5,44.5,96,2.33,73958.0
Mountain Village,Alaska,Wade Hampton,West,Pacific,62.205144,-164.478331,813,11,53,1,773,3,4,1,396,417,22.6,23.6,21.4,184,4.42,31250.0
Naknek,Alaska,Bristol Bay,West,Pacific,58.835515,-156.711103,544,23,362,7,283,14,19,2,260,284,43.9,42.5,44.7,231,2.35,53393.0
Napakiak,Alaska,Bethel,West,Pacific,60.687056,-161.752377,354,0,10,0,344,0,0,0,163,191,24.6,22.8,25.4,96,3.69,28750.0
Nenana,Alaska,Yukon Koyukuk,West,Pacific,64.603439,-148.603537,155,19,586,6,227,11,0,2,369,416,47.0,45.5,48.7,339,2.32,40313.0
New Stuyahok,Alaska,Dillingham,West,Pacific,59.529522,-157.646641,510,0,29,1,491,6,3,0,229,281,22.6,22.7,22.5,114,4.47,26042.0
Nightmute,Alaska,Bethel,West,Pacific,60.497861,-164.812707,280,0,15,0,266,7,0,0,133,147,22.8,22.7,22.9,59,4.75,35938.0
Nikolai,Alaska,Yukon Koyukuk,West,Pacific,63.076695,-154.432958,95,0,18,0,88,0,0,0,31,64,37.5,39.5,37.0,38,2.5,14500.0
Nikolski,Alaska,Aleutians West,West,Pacific,53.006753,-169.548592,18,0,1,0,17,0,0,0,9,9,56.5,50.3,63.5,13,1.38,38750.0
Ninilchik,Alaska,Kenai Peninsula,West,Pacific,60.031154,-151.426449,75,7,959,9,210,33,2,9,527,604,51.7,50.8,52.4,527,2.15,35417.0
Noatak,Alaska,Northwest Arctic,West,Pacific,67.328764,-162.768589,514,0,25,3,499,0,0,0,246,268,22.6,23.3,21.3,114,4.51,30833.0
Nome,Alaska,Nome,West,Pacific,65.144104,-165.06972,4038,133,1607,47,2677,93,18,36,1889,2149,31.5,30.8,32.1,1373,2.8,56532.0
Nondalton,Alaska,Lake And Peninsula,West,Pacific,60.031238,-154.555429,174,8,60,6,139,0,2,0,90,84,30.0,28.0,31.5,62,2.81,19583.0
Noorvik,Alaska,Northwest Arctic,West,Pacific,66.866576,-159.851148,668,2,62,8,638,1,6,3,293,375,21.9,21.5,22.4,153,4.37,51964.0
North Pole,Alaska,Fairbanks North Star,West,Pacific,64.729584,-147.387896,16968,798,19993,908,1829,1046,102,319,10759,11785,31.2,30.8,31.5,8067,2.79,58643.0
Northway,Alaska,Southeast Fairbanks,West,Pacific,63.000768,-141.69352,290,3,103,1,216,4,0,4,130,160,38.0,32.5,41.5,109,2.66,26667.0
Nuiqsut,Alaska,North Slope,West,Pacific,69.836916,-152.148914,402,0,50,3,360,0,0,0,194,208,25.2,25.8,24.8,114,3.47,48036.0
Nulato,Alaska,Yukon Koyukuk,West,Pacific,64.811372,-158.052676,264,0,14,0,250,2,0,1,120,144,33.8,36.0,32.0,92,2.87,25114.0
Nunam Iqua,Alaska,Wade Hampton,West,Pacific,62.195365,-165.169144,189,2,16,0,174,0,0,0,90,99,22.4,23.7,21.3,44,4.3,28500.0
Nunapitchuk,Alaska,Bethel,West,Pacific,60.88643,-162.331704,496,0,21,0,484,0,0,0,230,266,22.9,23.0,22.8,124,4.0,29286.0
Old Harbor,Alaska,Kodiak Island,West,Pacific,57.220492,-153.32133,218,0,27,0,194,3,0,0,95,123,34.3,32.3,35.8,84,2.6,32500.0
Ouzinkie,Alaska,Kodiak Island,West,Pacific,57.929975,-152.425193,175,4,40,0,146,3,0,0,81,94,36.8,33.5,40.7,64,2.73,47083.0
Palmer,Alaska,Matanuska Susitna,West,Pacific,61.772,-148.182587,17891,576,22868,559,2517,918,167,250,12196,12980,35.1,35.7,34.5,8719,2.77,53621.0
Pedro Bay,Alaska,Lake And Peninsula,West,Pacific,59.839534,-154.037942,44,0,15,0,31,0,0,0,24,20,45.0,42.0,45.0,20,2.2,36750.0
Pelican,Alaska,Hoonah Angoon,West,Pacific,57.957835,-136.114626,104,0,73,0,38,1,0,0,38,66,51.0,56.2,49.3,50,2.08,48125.0
Perryville,Alaska,Lake And Peninsula,West,Pacific,55.938078,-159.190058,113,0,5,0,110,3,0,0,53,60,27.8,31.3,26.5,38,2.97,51875.0
Petersburg,Alaska,Petersburg,West,Pacific,56.711501,-133.132822,3202,173,2801,25,429,119,16,44,1553,1649,41.5,40.5,42.4,1363,2.32,49415.0
Pilot Point,Alaska,Lake And Peninsula,West,Pacific,57.806578,-157.139176,80,0,28,0,66,0,0,0,38,42,46.0,43.5,48.0,34,2.35,37083.0
Pilot Station,Alaska,Wade Hampton,West,Pacific,61.689502,-163.177482,568,0,11,0,558,0,0,0,273,295,21.2,21.1,21.3,121,4.69,31071.0
Platinum,Alaska,Bethel,West,Pacific,58.925712,-161.401163,61,3,4,0,57,3,0,0,24,37,31.3,35.5,26.8,19,3.21,21250.0
Point Baker,Alaska,Prince Of Wales Hyder,West,Pacific,56.151318,-133.348994,94,3,82,0,18,5,2,2,31,63,49.5,47.5,50.8,55,1.71,17143.0
Point Hope,Alaska,North Slope,West,Pacific,68.257708,-166.211726,678,0,57,17,629,13,0,3,322,356,25.4,23.8,26.6,186,3.62,63125.0
Point Lay,Alaska,North Slope,West,Pacific,69.872384,-162.459817,189,0,21,0,168,1,1,0,83,106,25.1,24.4,26.0,60,3.15,68750.0
Port Alexander,Alaska,Sitka,West,Pacific,56.2477,-133.6438,52,2,48,0,3,1,0,0,23,29,35.0,32.5,37.3,22,2.36,0.0
Port Alsworth,Alaska,Lake And Peninsula,West,Pacific,60.330013,-154.190532,159,2,113,11,42,16,0,0,72,87,25.1,25.7,22.5,44,3.61,57917.0
Port Heiden,Alaska,Lake And Peninsula,West,Pacific,57.102228,-158.268032,102,0,17,0,87,0,0,0,45,57,26.7,24.3,27.5,35,2.91,31875.0
Port Lions,Alaska,Kodiak Island,West,Pacific,57.901192,-153.012361,197,5,78,0,119,3,0,0,96,101,44.4,43.0,45.1,78,2.53,39107.0
Prudhoe Bay,Alaska,North Slope,West,Pacific,70.057818,-149.38322,845,14,731,19,88,40,4,16,84,761,36.0,44.7,35.8,0,0.0,0.0
Quinhagak,Alaska,Bethel,West,Pacific,59.660381,-161.099902,669,1,35,3,650,3,3,2,322,347,24.0,23.8,24.1,165,4.05,25156.0
Rampart,Alaska,Yukon Koyukuk,West,Pacific,65.435538,-149.826568,24,0,1,0,23,0,0,0,11,13,40.0,50.5,38.5,10,2.4,22813.0
Red Devil,Alaska,Bethel,West,Pacific,61.713281,-157.693584,25,1,11,1,21,0,0,1,12,13,51.5,54.0,50.5,13,1.92,10938.0
Ruby,Alaska,Yukon Koyukuk,West,Pacific,64.361229,-155.99124,175,3,24,0,158,1,0,0,78,97,37.9,36.0,41.5,66,2.65,24375.0
Russian Mission,Alaska,Wade Hampton,West,Pacific,61.809188,-161.469302,329,0,19,0,314,0,0,0,151,178,22.0,21.9,22.1,79,4.16,27500.0
Saint George Island,Alaska,Aleutians West,West,Pacific,56.576877,-169.630379,102,0,12,0,92,1,0,0,43,59,39.0,37.8,42.5,42,2.33,57083.0
Saint Marys,Alaska,Wade Hampton,West,Pacific,62.27055,-163.300246,616,0,39,3,595,0,4,0,295,321,26.0,28.5,23.5,182,3.37,39688.0
Saint Michael,Alaska,Nome,West,Pacific,63.287729,-161.806562,401,0,31,0,379,3,0,1,190,211,21.7,22.3,20.8,96,4.18,33036.0
